selection_mode;model;corruption_type;corruption_level;accuracy;precision;recall;f1_score
all;MLP;top_k_drop;0.75;0.5412280701754385;0.09651702786377708;0.2571428571428571;0.14006993006993007
all;MLP;top_k_drop;0.8;0.5355263157894736;0.19315148047985575;0.40595238095238095;0.24523263148970656
all;MLP;top_k_drop;0.85;0.5192982456140351;0.13130655276689376;0.33452380952380956;0.18747187915329508
all;MLP;top_k_drop;0.9;0.5508771929824561;0.1655263157894737;0.3380952380952381;0.20641651031894934
all;MLP;top_k_drop;0.95;0.5635964912280701;0.08760826115922718;0.2261904761904762;0.1258741258741259
all;RandomForest;data_drift;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;data_drift;0.05;0.9675438596491228;0.9974999999999999;0.9142857142857143;0.9539445737446662
all;RandomForest;data_drift;0.1;0.9679824561403508;0.9974679487179487;0.9154761904761906;0.9546433322279777
all;RandomForest;data_drift;0.15;0.9675438596491228;0.99875;0.9130952380952382;0.9539334556847677
all;RandomForest;data_drift;0.2;0.9640350877192982;0.9923685444850399;0.9095238095238095;0.9489751484756217
all;RandomForest;data_drift;0.25;0.9605263157894737;0.9935222672064776;0.8988095238095237;0.9435797933899199
all;RandomForest;data_drift;0.3;0.9605263157894737;0.9925578486554096;0.9;0.9437336474809801
all;RandomForest;data_drift;0.35;0.9635964912280702;0.9974342105263159;0.9035714285714287;0.9479658601235477
all;RandomForest;data_drift;0.4;0.9504385964912281;0.9920341394025604;0.8726190476190476;0.928287120940352
all;RandomForest;data_drift;0.45;0.956140350877193;0.9910019306184262;0.8892857142857142;0.9368224541132895
all;RandomForest;data_drift;0.5;0.9543859649122807;0.9920640782482888;0.8833333333333334;0.9342557669404947
all;RandomForest;data_drift;0.55;0.9574561403508772;0.9875480723956335;0.8964285714285714;0.9390406175553403
all;RandomForest;data_drift;0.6;0.9513157894736842;0.9904114079888074;0.8761904761904761;0.9293639826573223
all;RandomForest;data_drift;0.65;0.9535087719298245;0.9871718723371483;0.8857142857142858;0.9327283216150809
all;RandomForest;data_drift;0.7;0.9407894736842104;0.9883891874455999;0.85;0.9125255016095488
all;RandomForest;data_drift;0.75;0.9377192982456141;0.9864278594056355;0.8428571428571429;0.9079000647866975
all;RandomForest;data_drift;0.8;0.9285087719298245;0.9883897434671429;0.8166666666666667;0.8922394973784259
all;RandomForest;data_drift;0.85;0.9267543859649123;0.9815050284193181;0.8178571428571428;0.8890878103398757
all;RandomForest;data_drift;0.9;0.9078947368421053;0.9808432181298986;0.7666666666666667;0.8551521784758309
all;RandomForest;data_drift;0.95;0.8192982456140351;0.9901322751322752;0.5154761904761905;0.6631127931373756
all;RandomForest;feature_swapping;0.0;0.9701754385964912;0.9974679487179487;0.9214285714285715;0.9578676641548413
all;RandomForest;feature_swapping;0.05;0.9692982456140351;1.0;0.9166666666666666;0.9564650726676043
all;RandomForest;feature_swapping;0.1;0.968859649122807;0.9974679487179487;0.9178571428571429;0.9559396285242739
all;RandomForest;feature_swapping;0.15;0.9679824561403508;0.9962179487179487;0.9166666666666666;0.9546708591017534
all;RandomForest;feature_swapping;0.2;0.9671052631578947;0.9974358974358974;0.9130952380952382;0.9533313799031099
all;RandomForest;feature_swapping;0.25;0.9614035087719298;0.9936201079622131;0.9011904761904763;0.9449739863932773
all;RandomForest;feature_swapping;0.3;0.962280701754386;0.9899953095684803;0.9071428571428571;0.9465333351518661
all;RandomForest;feature_swapping;0.35;0.9596491228070174;0.9885544419209374;0.9011904761904763;0.9426452817662655
all;RandomForest;feature_swapping;0.4;0.9605263157894737;0.9936201079622131;0.8988095238095237;0.9436114237332462
all;RandomForest;feature_swapping;0.45;0.9535087719298245;0.987091575875273;0.8857142857142858;0.9333214029257062
all;RandomForest;feature_swapping;0.5;0.9605263157894737;0.9887391555812609;0.9035714285714287;0.9438012700206535
all;RandomForest;feature_swapping;0.55;0.9557017543859649;0.983344978235864;0.8952380952380953;0.9368461709107946
all;RandomForest;feature_swapping;0.6;0.9508771929824562;0.9807541586713603;0.8845238095238095;0.9296493738207088
