run;selection_mode;model;corruption_type;corruption_level;accuracy;precision;recall;f1_score
0;all;RandomForest;outliers;0.45;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;outliers;0.5;0.9210526315789473;1.0;0.7857142857142857;0.88
0;all;RandomForest;outliers;0.55;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;outliers;0.6;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;RandomForest;outliers;0.65;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;outliers;0.7;0.9298245614035088;0.9473684210526315;0.8571428571428571;0.9
0;all;RandomForest;outliers;0.75;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;RandomForest;outliers;0.8;0.9649122807017544;0.975;0.9285714285714286;0.9512195121951219
0;all;RandomForest;outliers;0.85;0.9824561403508771;0.9761904761904762;0.9761904761904762;0.9761904761904762
0;all;RandomForest;outliers;0.9;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;RandomForest;outliers;0.95;0.9649122807017544;0.9318181818181818;0.9761904761904762;0.9534883720930233
0;all;RandomForest;missing_features;0.0;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;RandomForest;missing_features;0.05;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;RandomForest;missing_features;0.1;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;missing_features;0.15;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;RandomForest;missing_features;0.2;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;RandomForest;missing_features;0.25;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;missing_features;0.3;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;missing_features;0.35;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;RandomForest;missing_features;0.4;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;RandomForest;missing_features;0.45;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;RandomForest;missing_features;0.5;0.9473684210526315;0.9736842105263158;0.8809523809523809;0.925
0;all;RandomForest;missing_features;0.55;0.9473684210526315;0.9736842105263158;0.8809523809523809;0.925
0;all;RandomForest;missing_features;0.6;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;RandomForest;missing_features;0.65;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;RandomForest;missing_features;0.7;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;missing_features;0.75;0.9298245614035088;0.9722222222222222;0.8333333333333334;0.8974358974358975
0;all;RandomForest;missing_features;0.8;0.9298245614035088;0.9722222222222222;0.8333333333333334;0.8974358974358975
0;all;RandomForest;missing_features;0.85;0.8771929824561403;0.9117647058823529;0.7380952380952381;0.8157894736842105
0;all;RandomForest;missing_features;0.9;0.9473684210526315;0.9736842105263158;0.8809523809523809;0.925
0;all;RandomForest;missing_features;0.95;0.8947368421052632;1.0;0.7142857142857143;0.8333333333333334
0;all;RandomForest;data_drift;0.0;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;RandomForest;data_drift;0.05;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;data_drift;0.1;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;RandomForest;data_drift;0.15;0.9473684210526315;0.9736842105263158;0.8809523809523809;0.925
0;all;RandomForest;data_drift;0.2;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;RandomForest;data_drift;0.25;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;RandomForest;data_drift;0.3;0.9473684210526315;0.9736842105263158;0.8809523809523809;0.925
0;all;RandomForest;data_drift;0.35;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
