corruption_type,corruption_key,level,scenario,model_pipeline,metric,value
Gaussian Noise,gaussian,0.25,scenario_A,ANN / Full,auc_mean,0.991847
Gaussian Noise,gaussian,0.25,scenario_A,ANN / Full,prec_mean,0.965818
Gaussian Noise,gaussian,0.25,scenario_A,ANN / Full,rec_mean,0.975439
Gaussian Noise,gaussian,0.25,scenario_A,ANN / PCA,acc_mean,0.971429
Gaussian Noise,gaussian,0.25,scenario_A,ANN / PCA,acc_std,0.005383
Gaussian Noise,gaussian,0.25,scenario_A,ANN / PCA,auc_mean,0.99195
Gaussian Noise,gaussian,0.25,scenario_A,ANN / PCA,prec_mean,0.965918
Gaussian Noise,gaussian,0.25,scenario_A,ANN / PCA,rec_mean,0.989474
Gaussian Noise,gaussian,0.25,scenario_A,ANN / FS,acc_mean,0.936264
Gaussian Noise,gaussian,0.25,scenario_A,ANN / FS,acc_std,0.010767
Gaussian Noise,gaussian,0.25,scenario_A,ANN / FS,auc_mean,0.981011
Gaussian Noise,gaussian,0.25,scenario_A,ANN / FS,prec_mean,0.944787
Gaussian Noise,gaussian,0.25,scenario_A,ANN / FS,rec_mean,0.954386
Gaussian Noise,gaussian,0.25,scenario_A,SVM / Full,acc_mean,0.973626
Gaussian Noise,gaussian,0.25,scenario_A,SVM / Full,acc_std,0.005383
Gaussian Noise,gaussian,0.25,scenario_A,SVM / Full,auc_mean,0.990196
Gaussian Noise,gaussian,0.25,scenario_A,SVM / Full,prec_mean,0.972631
Gaussian Noise,gaussian,0.25,scenario_A,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.25,scenario_A,SVM / PCA,acc_mean,0.975824
Gaussian Noise,gaussian,0.25,scenario_A,SVM / PCA,acc_std,0.008223
Gaussian Noise,gaussian,0.25,scenario_A,SVM / PCA,auc_mean,0.992466
Gaussian Noise,gaussian,0.25,scenario_A,SVM / PCA,prec_mean,0.975795
Gaussian Noise,gaussian,0.25,scenario_A,SVM / PCA,rec_mean,0.985965
Gaussian Noise,gaussian,0.25,scenario_A,SVM / FS,acc_mean,0.938462
